full_name,posteam,proj_fp,week,position
Malik Nabers,NYG,13.52,15,WR
Xavier Worthy,KC,9.85,15,WR
Keon Coleman,BUF,8.86,15,WR
Rome Odunze,CHI,10.13,15,WR
Caleb Williams,CHI,16.19,15,QB
Brian Thomas Jr.,JAX,13.32,15,WR
Ladd McConkey,LAC,14.02,15,WR
Ray Davis,BUF,4.3,15,RB
Bucky Irving,TB,13.45,15,RB
Marvin Harrison Jr.,ARI,12.13,15,WR
Tyrone Tracy Jr.,NYG,3.47,1,RB
Tyrone Tracy Jr.,NYG,3.67,2,RB
Tyrone Tracy Jr.,NYG,2.88,3,RB
Tyrone Tracy Jr.,NYG,3.89,4,RB
Tyrone Tracy Jr.,NYG,9.4,5,RB
Tyrone Tracy Jr.,NYG,11.77,6,RB
Tyrone Tracy Jr.,NYG,8.42,7,RB
Jalen McMillan,TB,7.72,1,WR
Jalen McMillan,TB,7.57,2,WR
Jalen McMillan,TB,6.25,3,WR
Jalen McMillan,TB,0,4,WR
Jalen McMillan,TB,0,5,WR
Jalen McMillan,TB,4.81,6,WR
Jalen McMillan,TB,3.89,7,WR
