"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","Touch_type","percentage","label_y","Rank"
"RB","Zack Moss","00-0036251","IND",210,48,169.6,165.35,14,"2023",12.1142857142857,11.8107142857143,"HVT_perc",0.228571428571429,0.885714285714286,"RB3"
"RB","Devin Singletary","00-0035250","HOU",246,47,167.34,179.93,17,"2023",9.84352941176471,10.5841176470588,"TRAP",0.808943089430894,0.404471544715447,"RB3"
"RB","Devin Singletary","00-0035250","HOU",246,47,167.34,179.93,17,"2023",9.84352941176471,10.5841176470588,"HVT_perc",0.191056910569106,0.904471544715447,"RB3"
"RB","Jonathan Taylor","00-0036223","IND",188,33,156.4,148.35,10,"2023",15.64,14.835,"TRAP",0.824468085106383,0.412234042553192,"RB3"
"RB","Jonathan Taylor","00-0036223","IND",188,33,156.4,148.35,10,"2023",15.64,14.835,"HVT_perc",0.175531914893617,0.912234042553192,"RB3"
"RB","Tyjae Spears","00-0039032","TEN",152,57,153.8,151.02,17,"2023",9.04705882352941,8.88352941176471,"TRAP",0.625,0.3125,"RB3"
"RB","Tyjae Spears","00-0039032","TEN",152,57,153.8,151.02,17,"2023",9.04705882352941,8.88352941176471,"HVT_perc",0.375,0.8125,"RB3"
"RB","Rhamondre Stevenson","00-0036875","NE",194,46,145.7,153.19,12,"2023",12.1416666666667,12.7658333333333,"TRAP",0.762886597938144,0.381443298969072,"RB3"
"RB","Rhamondre Stevenson","00-0036875","NE",194,46,145.7,153.19,12,"2023",12.1416666666667,12.7658333333333,"HVT_perc",0.237113402061856,0.881443298969072,"RB3"
"RB","Tyler Allgeier","00-0037263","ATL",204,28,137.6,142.01,17,"2023",8.09411764705882,8.35352941176471,"TRAP",0.862745098039216,0.431372549019608,"RB3"
"RB","Tyler Allgeier","00-0037263","ATL",204,28,137.6,142.01,17,"2023",8.09411764705882,8.35352941176471,"HVT_perc",0.137254901960784,0.931372549019608,"RB3"
"RB","Aaron Jones","00-0033293","GB",172,40,134.9,154.17,11,"2023",12.2636363636364,14.0154545454545,"TRAP",0.767441860465116,0.383720930232558,"Other"
"RB","Aaron Jones","00-0033293","GB",172,40,134.9,154.17,11,"2023",12.2636363636364,14.0154545454545,"HVT_perc",0.232558139534884,0.883720930232558,"Other"
"RB","Alexander Mattison","00-0034972","MIN",210,42,133.2,182.52,16,"2023",8.325,11.4075,"TRAP",0.8,0.4,"Other"
"RB","Alexander Mattison","00-0034972","MIN",210,42,133.2,182.52,16,"2023",8.325,11.4075,"HVT_perc",0.2,0.9,"Other"
"RB","Antonio Gibson","00-0036328","WAS",113,49,127.4,121.53,16,"2023",7.9625,7.595625,"TRAP",0.566371681415929,0.283185840707965,"Other"
"RB","Antonio Gibson","00-0036328","WAS",113,49,127.4,121.53,16,"2023",7.9625,7.595625,"HVT_perc",0.433628318584071,0.783185840707965,"Other"
"RB","Samaje Perine","00-0033526","DEN",103,57,121.3,110.47,17,"2023",7.13529411764706,6.49823529411765,"TRAP",0.446601941747573,0.223300970873786,"Other"
"RB","Samaje Perine","00-0033526","DEN",103,57,121.3,110.47,17,"2023",7.13529411764706,6.49823529411765,"HVT_perc",0.553398058252427,0.723300970873786,"Other"
"RB","Kareem Hunt","00-0033923","CLE",150,30,118.5,120.44,15,"2023",7.9,8.02933333333333,"TRAP",0.8,0.4,"Other"
"RB","Kareem Hunt","00-0033923","CLE",150,30,118.5,120.44,15,"2023",7.9,8.02933333333333,"HVT_perc",0.2,0.9,"Other"
"RB","AJ Dillon","00-0036265","GB",200,40,117.6,146.34,15,"2023",7.84,9.756,"TRAP",0.8,0.4,"Other"
"RB","AJ Dillon","00-0036265","GB",200,40,117.6,146.34,15,"2023",7.84,9.756,"HVT_perc",0.2,0.9,"Other"
"RB","Khalil Herbert","00-0036906","CHI",152,25,112.5,122.82,12,"2023",9.375,10.235,"TRAP",0.835526315789474,0.417763157894737,"Other"
"RB","Khalil Herbert","00-0036906","CHI",152,25,112.5,122.82,12,"2023",9.375,10.235,"HVT_perc",0.164473684210526,0.917763157894737,"Other"
"RB","Justice Hill","00-0034975","BAL",112,39,109.3,115.88,16,"2023",6.83125,7.2425,"TRAP",0.651785714285714,0.325892857142857,"Other"
"RB","Justice Hill","00-0034975","BAL",112,39,109.3,115.88,16,"2023",6.83125,7.2425,"HVT_perc",0.348214285714286,0.825892857142857,"Other"
"RB","Zach Charbonnet","00-0039165","SEA",141,46,106.1,122.54,16,"2023",6.63125,7.65875,"TRAP",0.673758865248227,0.336879432624113,"Other"
"RB","Zach Charbonnet","00-0039165","SEA",141,46,106.1,122.54,16,"2023",6.63125,7.65875,"HVT_perc",0.326241134751773,0.836879432624113,"Other"
"RB","Jaleel McLaughlin","00-0038794","DEN",107,35,106,94.96,17,"2023",6.23529411764706,5.58588235294118,"TRAP",0.672897196261682,0.336448598130841,"Other"
"RB","Jaleel McLaughlin","00-0038794","DEN",107,35,106,94.96,17,"2023",6.23529411764706,5.58588235294118,"HVT_perc",0.327102803738318,0.836448598130841,"Other"
"RB","Roschon Johnson","00-0039021","CHI",115,41,102.1,107.97,15,"2023",6.80666666666667,7.198,"TRAP",0.643478260869565,0.321739130434783,"Other"
"RB","Roschon Johnson","00-0039021","CHI",115,41,102.1,107.97,15,"2023",6.80666666666667,7.198,"HVT_perc",0.356521739130435,0.821739130434783,"Other"
"RB","Ty Chandler","00-0037276","MIN",123,26,101,94.42,13,"2023",7.76923076923077,7.26307692307692,"TRAP",0.788617886178862,0.394308943089431,"Other"
"RB","Ty Chandler","00-0037276","MIN",123,26,101,94.42,13,"2023",7.76923076923077,7.26307692307692,"HVT_perc",0.211382113821138,0.894308943089431,"Other"
"RB","Kenneth Gainwell","00-0036919","PHI",114,40,97.38,112.45,16,"2023",6.08625,7.028125,"TRAP",0.649122807017544,0.324561403508772,"Other"
"RB","Kenneth Gainwell","00-0036919","PHI",114,40,97.38,112.45,16,"2023",6.08625,7.028125,"HVT_perc",0.350877192982456,0.824561403508772,"Other"
"RB","Rico Dowdle","00-0036139","DAL",106,23,91.5,93.84,16,"2023",5.71875,5.865,"TRAP",0.783018867924528,0.391509433962264,"Other"
"RB","Rico Dowdle","00-0036139","DAL",106,23,91.5,93.84,16,"2023",5.71875,5.865,"HVT_perc",0.216981132075472,0.891509433962264,"Other"
"RB","D'Onta Foreman","00-0033925","CHI",120,21,91.2,90.46,9,"2023",10.1333333333333,10.0511111111111,"TRAP",0.825,0.4125,"Other"
"RB","D'Onta Foreman","00-0033925","CHI",120,21,91.2,90.46,9,"2023",10.1333333333333,10.0511111111111,"HVT_perc",0.175,0.9125,"Other"
"RB","Miles Sanders","00-0035243","CAR",156,34,87.6,125.18,16,"2023",5.475,7.82375,"TRAP",0.782051282051282,0.391025641025641,"Other"
"RB","Miles Sanders","00-0035243","CAR",156,34,87.6,125.18,16,"2023",5.475,7.82375,"HVT_perc",0.217948717948718,0.891025641025641,"Other"
"RB","Jerick McKinnon","00-0031376","KC",46,26,84.36,66.51,12,"2023",7.03,5.5425,"TRAP",0.434782608695652,0.217391304347826,"Other"
"RB","Jerick McKinnon","00-0031376","KC",46,26,84.36,66.51,12,"2023",7.03,5.5425,"HVT_perc",0.565217391304348,0.717391304347826,"Other"
"RB","Latavius Murray","00-0030513","BUF",96,34,82.9,101.06,15,"2023",5.52666666666667,6.73733333333333,"TRAP",0.645833333333333,0.322916666666667,"Other"
"RB","Latavius Murray","00-0030513","BUF",96,34,82.9,101.06,15,"2023",5.52666666666667,6.73733333333333,"HVT_perc",0.354166666666667,0.822916666666667,"Other"
"RB","Dameon Pierce","00-0037258","HOU",158,27,76.7,114.9,13,"2023",5.9,8.83846153846154,"TRAP",0.829113924050633,0.414556962025316,"Other"
"RB","Dameon Pierce","00-0037258","HOU",158,27,76.7,114.9,13,"2023",5.9,8.83846153846154,"HVT_perc",0.170886075949367,0.914556962025316,"Other"
"RB","Zamir White","00-0038040","LV",119,22,73.9,86.62,13,"2023",5.68461538461538,6.66307692307692,"TRAP",0.815126050420168,0.407563025210084,"Other"
"RB","Zamir White","00-0038040","LV",119,22,73.9,86.62,13,"2023",5.68461538461538,6.66307692307692,"HVT_perc",0.184873949579832,0.907563025210084,"Other"
"RB","Emari Demercado","00-0038705","ARI",79,22,73.3,74.33,11,"2023",6.66363636363636,6.75727272727273,"TRAP",0.721518987341772,0.360759493670886,"Other"
"RB","Emari Demercado","00-0038705","ARI",79,22,73.3,74.33,11,"2023",6.66363636363636,6.75727272727273,"HVT_perc",0.278481012658228,0.860759493670886,"Other"
"RB","Clyde Edwards-Helaire","00-0036360","KC",87,22,70.1,80.49,15,"2023",4.67333333333333,5.366,"TRAP",0.747126436781609,0.373563218390805,"Other"
"RB","Clyde Edwards-Helaire","00-0036360","KC",87,22,70.1,80.49,15,"2023",4.67333333333333,5.366,"HVT_perc",0.252873563218391,0.873563218390805,"Other"
"RB","Keaton Mitchell","00-0038454","BAL",56,9,69.9,41.64,7,"2023",9.98571428571429,5.94857142857143,"TRAP",0.839285714285714,0.419642857142857,"Other"
"RB","Keaton Mitchell","00-0038454","BAL",56,9,69.9,41.64,7,"2023",9.98571428571429,5.94857142857143,"HVT_perc",0.160714285714286,0.919642857142857,"Other"
"RB","Joshua Kelley","00-0036370","LAC",115,15,61.7,78.87,17,"2023",3.62941176470588,4.63941176470588,"TRAP",0.869565217391304,0.434782608695652,"Other"
"RB","Joshua Kelley","00-0036370","LAC",115,15,61.7,78.87,17,"2023",3.62941176470588,4.63941176470588,"HVT_perc",0.130434782608696,0.934782608695652,"Other"
"RB","Jamaal Williams","00-0033948","NO",124,25,60.8,84.02,13,"2023",4.67692307692308,6.46307692307692,"TRAP",0.798387096774194,0.399193548387097,"Other"
"RB","Jamaal Williams","00-0033948","NO",124,25,60.8,84.02,13,"2023",4.67692307692308,6.46307692307692,"HVT_perc",0.201612903225806,0.899193548387097,"Other"
"RB","Michael Carter","00-0036924","ARI",54,25,58.8,61.91,15,"2023",3.92,4.12733333333333,"TRAP",0.537037037037037,0.268518518518519,"Other"
